,Movie,Producer,Distributor,Screen,Sales,Audience,Genre,Rate,Year,Month,Season,genre_encoded,log_sales,log_audience,log_screen
0,명량,김한민,씨제이이앤엠(주),1587,135748398910,17613682,사극,1,2014,7,3,11,25.634,16.684,7.37
1,극한직업,이병헌,씨제이이앤엠(주),1978,139647979516,16264944,코미디,1,2019,1,1,18,25.662,16.605,7.59
2,신과함께-죄와 벌,김용화,롯데쇼핑㈜롯데엔터테인먼트,1912,115698654137,14410754,판타지,0,2017,12,1,19,25.474,16.483,7.556
3,국제시장,윤제균,씨제이이앤엠(주),966,110828014630,14245998,드라마,0,2014,12,1,6,25.431,16.472,6.874
4,베테랑,류승완,씨제이이앤엠(주),1064,105024756250,13395400,액션,1,2015,8,3,15,25.377,16.41,6.971
5,도둑들,최동훈,(주)쇼박스,1072,93665568500,12983330,액션,1,2012,7,3,15,25.263,16.379,6.978
6,7번방의 선물,이환경,(주)넥스트엔터테인먼트월드(NEW),787,91431914670,12811206,코미디,1,2013,1,1,18,25.239,16.366,6.669
7,암살,최동훈,(주)쇼박스,1519,98463132781,12705700,액션,1,2015,7,3,15,25.313,16.358,7.326
8,"광해, 왕이 된 남자",추창민,씨제이이앤엠(주),810,88900208769,12319542,사극,1,2012,9,4,11,25.211,16.327,6.698
9,신과함께-인과 연,김용화,롯데컬처웍스(주)롯데엔터테인먼트,2235,102476768809,12253247,판타지,0,2018,8,3,19,25.353,16.321,7.712
10,택시운전사,장훈,(주)쇼박스,1906,95284747049,12099971,드라마,1,2017,8,3,6,25.28,16.309,7.553
11,부산행,연상호,(주)넥스트엔터테인먼트월드(NEW),1788,93175877048,11565078,액션,1,2016,7,3,15,25.258,16.264,7.489
12,해운대,윤제균,씨제이엔터테인먼트,753,81934638201,11453338,액션,0,2009,7,3,15,25.129,16.254,6.625
13,변호인,양우석,(주)넥스트엔터테인먼트월드(NEW),923,82856578300,11372451,드라마,1,2013,12,1,6,25.14,16.247,6.829
14,기생충,봉준호,씨제이이앤엠(주),1948,85883963645,10085275,드라마,1,2019,5,2,6,25.176,16.127,7.575
