영화명,배급사,개봉일,전국,전국,전국,장르,등급
,,,스크린수,매출액,관객수,,
명량,씨제이이앤엠(주),2014-07-30,"1,587","135,748,398,910","17,613,682",사극,15세이상관람가
극한직업,씨제이이앤엠(주),2019-01-23,"1,978","139,647,979,516","16,264,944",코미디,15세이상관람가
신과함께-죄와 벌,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,"1,912","115,698,654,137","14,410,754",판타지,12세이상관람가
국제시장,씨제이이앤엠(주),2014-12-17,966,"110,828,014,630","14,245,998",드라마,12세이상관람가
베테랑,씨제이이앤엠(주),2015-08-05,"1,064","105,024,756,250","13,395,400",액션,15세이상관람가
도둑들,(주)쇼박스,2012-07-25,"1,072","93,665,568,500","12,983,330",액션,15세이상관람가
7번방의 선물,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,787,"91,431,914,670","12,811,206",코미디,15세이상관람가
암살,(주)쇼박스,2015-07-22,"1,519","98,463,132,781","12,705,700",액션,15세이상관람가
"광해, 왕이 된 남자",씨제이이앤엠(주),2012-09-13,810,"88,900,208,769","12,319,542",사극,15세이상관람가
신과함께-인과 연,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-01,"2,235","102,476,768,809","12,253,247",판타지,12세이상관람가
택시운전사,(주)쇼박스,2017-08-02,"1,906","95,284,747,049","12,099,971",드라마,15세이상관람가
부산행,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,"1,788","93,175,877,048","11,565,078",액션,15세이상관람가
해운대,씨제이엔터테인먼트,2009-07-22,753,"81,934,638,201","11,453,338",액션,12세이상관람가
변호인,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,923,"82,856,578,300","11,372,451",드라마,15세이상관람가
기생충,씨제이이앤엠(주),2019-05-30,"1,948","85,883,963,645","10,085,275",드라마,15세이상관람가
검사외전,(주)쇼박스,2016-02-03,"1,812","77,252,755,264","9,699,092",범죄,15세이상관람가
엑시트,씨제이이앤엠(주),2019-07-31,"1,660","79,232,012,162","9,426,011",코미디,12세이상관람가
관상,(주)쇼박스,2013-09-11,"1,190","66,005,451,500","9,134,586",사극,15세이상관람가
설국열차,씨제이이앤엠(주),2013-08-01,"1,128","64,016,480,000","8,914,845",SF,15세이상관람가
수상한 그녀,씨제이이앤엠(주),2014-01-22,692,"62,696,639,249","8,656,397",드라마,15세이상관람가
해적: 바다로 간 산적,롯데쇼핑㈜롯데엔터테인먼트,2014-08-06,838,"66,240,631,706","8,646,758",어드벤처,12세이상관람가
국가대표,(주)쇼박스,2009-07-29,580,"60,896,633,308","8,487,894",드라마,12세이상관람가
과속스캔들,롯데쇼핑㈜롯데엔터테인먼트,2008-12-03,405,"53,940,101,534","8,245,523",코미디,12세이상관람가
히말라야,씨제이이앤엠(주),2015-12-16,"1,009","60,173,583,015","7,759,473",드라마,12세이상관람가
밀정,워너브러더스 코리아(주),2016-09-07,"1,444","61,158,644,831","7,487,545",액션,15세이상관람가
최종병기 활,롯데쇼핑㈜롯데엔터테인먼트,2011-08-10,615,"55,808,856,500","7,466,976",사극,15세이상관람가
써니,씨제이이앤엠(주),2011-05-04,472,"53,773,170,600","7,328,820",드라마,15세이상관람가
1987,씨제이이앤엠(주),2017-12-27,"1,299","58,165,581,145","7,231,638",드라마,15세이상관람가
베를린,씨제이이앤엠(주),2013-01-30,894,"52,354,931,637","7,166,199",액션,15세이상관람가
터널,(주)쇼박스,2016-08-10,"1,105","57,510,324,417","7,118,592",드라마,12세이상관람가
내부자들,(주)쇼박스,2015-11-19,"1,075","56,596,582,057","7,071,763",범죄,청소년관람불가
