,Movie,Distributor,Screen,Sales,Audience,Genre,Rate,Year,Month,Season
0,명량,씨제이이앤엠(주),1587,135748.39891,17613.682,사극,15세이상관람가,2014,7,3
1,극한직업,씨제이이앤엠(주),1978,139647.97951600002,16264.944,코미디,15세이상관람가,2019,1,1
2,신과함께-죄와 벌,롯데쇼핑㈜롯데엔터테인먼트,1912,115698.65413699999,14410.754,판타지,12세이상관람가,2017,12,1
3,국제시장,씨제이이앤엠(주),966,110828.01462999999,14245.998,드라마,12세이상관람가,2014,12,1
4,베테랑,씨제이이앤엠(주),1064,105024.75625,13395.4,액션,15세이상관람가,2015,8,3
5,도둑들,(주)쇼박스,1072,93665.5685,12983.33,액션,15세이상관람가,2012,7,3
6,7번방의 선물,(주)넥스트엔터테인먼트월드(NEW),787,91431.91467,12811.206,코미디,15세이상관람가,2013,1,1
7,암살,(주)쇼박스,1519,98463.132781,12705.7,액션,15세이상관람가,2015,7,3
8,"광해, 왕이 된 남자",씨제이이앤엠(주),810,88900.208769,12319.542,사극,15세이상관람가,2012,9,4
9,신과함께-인과 연,롯데컬처웍스(주)롯데엔터테인먼트,2235,102476.768809,12253.247,판타지,12세이상관람가,2018,8,3
10,택시운전사,(주)쇼박스,1906,95284.747049,12099.971,드라마,15세이상관람가,2017,8,3
11,부산행,(주)넥스트엔터테인먼트월드(NEW),1788,93175.877048,11565.078,액션,15세이상관람가,2016,7,3
12,해운대,씨제이엔터테인먼트,753,81934.638201,11453.338,액션,12세이상관람가,2009,7,3
13,변호인,(주)넥스트엔터테인먼트월드(NEW),923,82856.5783,11372.451,드라마,15세이상관람가,2013,12,1
14,기생충,씨제이이앤엠(주),1948,85883.96364500001,10085.275,드라마,15세이상관람가,2019,5,2
15,검사외전,(주)쇼박스,1812,77252.75526399999,9699.092,범죄,15세이상관람가,2016,2,1
16,엑시트,씨제이이앤엠(주),1660,79232.012162,9426.011,코미디,12세이상관람가,2019,7,3
17,관상,(주)쇼박스,1190,66005.4515,9134.586,사극,15세이상관람가,2013,9,4
18,설국열차,씨제이이앤엠(주),1128,64016.48,8914.845,SF,15세이상관람가,2013,8,3
19,수상한 그녀,씨제이이앤엠(주),692,62696.639249,8656.397,드라마,15세이상관람가,2014,1,1
20,해적: 바다로 간 산적,롯데쇼핑㈜롯데엔터테인먼트,838,66240.631706,8646.758,어드벤처,12세이상관람가,2014,8,3
21,국가대표,(주)쇼박스,580,60896.633308000004,8487.894,드라마,12세이상관람가,2009,7,3
22,과속스캔들,롯데쇼핑㈜롯데엔터테인먼트,405,53940.101534,8245.523,코미디,12세이상관람가,2008,12,1
23,히말라야,씨제이이앤엠(주),1009,60173.583015,7759.473,드라마,12세이상관람가,2015,12,1
24,밀정,워너브러더스 코리아(주),1444,61158.644831,7487.545,액션,15세이상관람가,2016,9,4
25,최종병기 활,롯데쇼핑㈜롯데엔터테인먼트,615,55808.8565,7466.976,사극,15세이상관람가,2011,8,3
26,써니,씨제이이앤엠(주),472,53773.1706,7328.82,드라마,15세이상관람가,2011,5,2
27,1987,씨제이이앤엠(주),1299,58165.581145000004,7231.638,드라마,15세이상관람가,2017,12,1
28,베를린,씨제이이앤엠(주),894,52354.931637,7166.199,액션,15세이상관람가,2013,1,1
29,터널,(주)쇼박스,1105,57510.324416999996,7118.592,드라마,12세이상관람가,2016,8,3
30,내부자들,(주)쇼박스,1075,56596.58205700001,7071.763,범죄,청소년관람불가,2015,11,4
31,인천상륙작전,씨제이이앤엠(주),1049,55101.410303,7049.643,전쟁,12세이상관람가,2016,7,3
32,럭키,(주)쇼박스,1158,56361.435256,6965.706,코미디,15세이상관람가,2016,10,4
33,은밀하게 위대하게,(주)쇼박스,1341,48663.939413,6953.8,액션,15세이상관람가,2013,6,3
34,곡성,이십세기폭스코리아(주),1485,55853.108382000006,6878.264,미스터리,15세이상관람가,2016,5,2
35,범죄도시,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",1315,56077.813249,6851.297,범죄,청소년관람불가,2017,10,4
36,"좋은 놈, 나쁜 놈, 이상한 놈",씨제이엔터테인먼트,825,43768.628939,6686.912,서부극(웨스턴),15세이상관람가,2008,7,3
37,늑대소년,씨제이이앤엠(주),706,46593.1075,6654.837,멜로/로맨스,15세이상관람가,2012,10,4
38,군함도,씨제이이앤엠(주),2027,50510.565168,6592.151,액션,15세이상관람가,2017,7,3
39,백두산,"씨제이이앤엠(주),(주)덱스터스튜디오",1971,52905.789769999996,6290.502,어드벤처,12세이상관람가,2019,12,1
40,아저씨,씨제이엔터테인먼트,478,47870.792359,6282.774,액션,청소년관람불가,2010,8,3
41,사도,(주)쇼박스,1210,48842.902501,6246.849,사극,12세이상관람가,2015,9,4
42,전우치,씨제이엔터테인먼트,606,44605.437017000004,6136.928,액션,12세이상관람가,2009,12,1
43,연평해전,(주)넥스트엔터테인먼트월드(NEW),1013,45560.62033,6043.458,드라마,12세이상관람가,2015,6,3
44,청년경찰,롯데쇼핑㈜롯데엔터테인먼트,1102,44241.099316,5636.259,액션,15세이상관람가,2017,8,3
45,숨바꼭질,(주)넥스트엔터테인먼트월드(NEW),779,39593.0385,5602.543,스릴러,15세이상관람가,2013,8,3
46,덕혜옹주,롯데쇼핑㈜롯데엔터테인먼트,964,44344.141109,5593.551,사극,12세이상관람가,2016,8,3
47,더 테러 라이브,롯데쇼핑㈜롯데엔터테인먼트,743,39866.712881,5583.596,범죄,15세이상관람가,2013,7,3
48,의형제,(주)쇼박스,572,40800.867602,5507.106,드라마,15세이상관람가,2010,2,1
49,감시자들,(주)넥스트엔터테인먼트월드(NEW),949,39298.005179,5496.547,범죄,15세이상관람가,2013,7,3
50,검은 사제들,씨제이이앤엠(주),1088,42395.347092,5440.945,미스터리,15세이상관람가,2015,11,4
51,안시성,(주)넥스트엔터테인먼트월드(NEW),1540,46335.334026,5440.186,사극,12세이상관람가,2018,9,4
52,완득이,씨제이이앤엠(주),500,38530.5035,5310.51,드라마,12세이상관람가,2011,10,4
53,완벽한 타인,롯데컬처웍스(주)롯데엔터테인먼트,1313,44356.752474,5294.119,드라마,15세이상관람가,2018,10,4
54,타워,씨제이이앤엠(주),617,37654.858,5181.014,드라마,12세이상관람가,2012,12,1
55,추격자,(주)쇼박스,435,33943.2785,5071.619,범죄,청소년관람불가,2008,2,1
56,독전,(주)넥스트엔터테인먼트월드(NEW),1357,43484.892912999996,5063.62,범죄,15세이상관람가,2018,5,2
57,공작,씨제이이앤엠(주),1317,42759.410176,4971.261,드라마,12세이상관람가,2018,8,3
58,마스터,씨제이이앤엠(주),1501,39811.539665,4940.091,액션,15세이상관람가,2016,12,1
59,바람과 함께 사라지다,(주)넥스트엔터테인먼트월드(NEW),694,34524.377161000004,4897.551,코미디,12세이상관람가,2012,8,3
60,조선명탐정 : 각시투구꽃의 비밀,(주)쇼박스,611,35841.7695,4786.259,코미디,12세이상관람가,2011,1,1
61,봉오동 전투,(주)쇼박스,1476,40514.276538,4779.501,사극,15세이상관람가,2019,8,3
62,군도: 민란의 시대,(주)쇼박스,1394,36987.755999,4774.895,사극,15세이상관람가,2014,7,3
63,범죄와의 전쟁: 나쁜놈들 전성시대,(주)쇼박스,699,36479.1475,4710.454,범죄,청소년관람불가,2012,2,1
64,신세계,(주)넥스트엔터테인먼트월드(NEW),671,34881.330905,4682.492,범죄,청소년관람불가,2013,2,1
65,도가니,씨제이이앤엠(주),644,35566.8548,4662.822,드라마,청소년관람불가,2011,9,4
66,내 아내의 모든 것,(주)넥스트엔터테인먼트월드(NEW),563,34222.1605,4598.583,코미디,15세이상관람가,2012,5,2
67,나쁜 녀석들: 더 무비,씨제이이앤엠(주),1511,39560.195124,4573.902,범죄,15세이상관람가,2019,9,4
68,연가시,씨제이이앤엠(주),759,32154.766664,4513.026,공포(호러),15세이상관람가,2012,7,3
69,강철비,(주)넥스트엔터테인먼트월드(NEW),1426,35477.912466,4451.336,액션,15세이상관람가,2017,12,1
70,판도라,(주)넥스트엔터테인먼트월드(NEW),1166,33861.718164,4302.032,드라마,12세이상관람가,2016,12,1
71,강철중: 공공의 적 1-1,"씨제이엔터테인먼트,(주)시네마서비스",659,28465.757767000003,4300.67,드라마,15세이상관람가,2008,6,3
72,아가씨,씨제이이앤엠(주),1171,35114.332791,4277.071,스릴러,청소년관람불가,2016,6,3
73,용의자,(주)쇼박스,807,30037.161,4131.248,액션,15세이상관람가,2013,12,1
74,건축학개론,롯데쇼핑㈜롯데엔터테인먼트,593,30219.8005,4110.645,멜로/로맨스,12세이상관람가,2012,3,2
75,7급 공무원,롯데쇼핑㈜롯데엔터테인먼트,475,26701.311856,4088.799,코미디,12세이상관람가,2009,4,2
76,댄싱퀸,씨제이이앤엠(주),534,30129.2595,4057.546,코미디,12세이상관람가,2012,1,1
77,우리 생애 최고의 순간,(주)싸이더스,418,26151.780425,4044.582,드라마,전체관람가,2008,1,1
78,꾼,(주)쇼박스,1314,31313.568795,4018.341,범죄,15세이상관람가,2017,11,4
79,타짜-신의 손,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",890,32267.244827,4001.813,드라마,청소년관람불가,2014,9,4
80,박수건달,(주)쇼박스,599,28343.986569,3893.216,코미디,15세이상관람가,2013,1,1
81,조선명탐정 : 사라진 놉의 딸,(주)쇼박스,811,30456.879427999997,3872.015,사극,12세이상관람가,2015,2,1
82,역린,롯데쇼핑㈜롯데엔터테인먼트,1054,29893.297889999998,3849.433,사극,15세이상관람가,2014,4,2
83,남한산성,씨제이이앤엠(주),1229,31067.321992,3829.891,사극,15세이상관람가,2017,10,4
