,Movie,Distributor,Screen,Sales,Audience,Genre,Rate,Year,Month,Season,이경영,정인기,마동석,배성우,오달수,라미란,조진웅,김기천,한이진,오정세,CJEnM,LotteShop,Next,ShowBox,CJEnt
0,명량,씨제이이앤엠(주),1587,135748.39891,17613682,사극,15세이상관람가,2014,7,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
1,극한직업,씨제이이앤엠(주),1978,139647.97951600002,16264944,코미디,15세이상관람가,2019,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2,신과함께-죄와 벌,롯데쇼핑㈜롯데엔터테인먼트,1912,115698.654137,14410754,판타지,12세이상관람가,2017,12,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
3,국제시장,씨제이이앤엠(주),966,110828.01463,14245998,드라마,12세이상관람가,2014,12,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
4,베테랑,씨제이이앤엠(주),1064,105024.75625,13395400,액션,15세이상관람가,2015,8,3,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0
5,도둑들,(주)쇼박스,1072,93665.5685,12983330,액션,15세이상관람가,2012,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
6,7번방의 선물,(주)넥스트엔터테인먼트월드(NEW),787,91431.91467,12811206,코미디,15세이상관람가,2013,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
7,암살,(주)쇼박스,1519,98463.132781,12705700,액션,15세이상관람가,2015,7,3,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
8,"광해, 왕이 된 남자",씨제이이앤엠(주),810,88900.208769,12319542,사극,15세이상관람가,2012,9,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
9,신과함께-인과 연,롯데컬처웍스(주)롯데엔터테인먼트,2235,102476.768809,12253247,판타지,12세이상관람가,2018,8,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,택시운전사,(주)쇼박스,1906,95284.747049,12099971,드라마,15세이상관람가,2017,8,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
11,부산행,(주)넥스트엔터테인먼트월드(NEW),1788,93175.877048,11565078,액션,15세이상관람가,2016,7,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12,해운대,씨제이엔터테인먼트,753,81934.638201,11453338,액션,12세이상관람가,2009,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,변호인,(주)넥스트엔터테인먼트월드(NEW),923,82856.5783,11372451,드라마,15세이상관람가,2013,12,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
14,기생충,씨제이이앤엠(주),1948,85883.96364500001,10085275,드라마,15세이상관람가,2019,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,검사외전,(주)쇼박스,1812,77252.75526399999,9699092,범죄,15세이상관람가,2016,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,엑시트,씨제이이앤엠(주),1660,79232.012162,9426011,코미디,12세이상관람가,2019,7,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,관상,(주)쇼박스,1190,66005.4515,9134586,사극,15세이상관람가,2013,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,설국열차,씨제이이앤엠(주),1128,64016.48,8914845,SF,15세이상관람가,2013,8,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,수상한 그녀,씨제이이앤엠(주),692,62696.639249,8656397,드라마,15세이상관람가,2014,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
20,해적: 바다로 간 산적,롯데쇼핑㈜롯데엔터테인먼트,838,66240.631706,8646758,어드벤처,12세이상관람가,2014,8,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
