,이경영,정인기,마동석,배성우,오달수,라미란,조진웅,김기천,한이진,오정세,영화명
0,0,0,0,0,0,0,1,0,1,0,명량
1,0,1,0,0,0,0,0,0,0,1,극한직업
2,1,0,1,0,1,0,0,0,0,0,신과함께-죄와 벌
3,0,0,0,0,1,1,0,0,0,0,국제시장
4,0,0,1,1,1,0,0,1,0,0,베테랑
5,0,0,0,0,1,0,0,0,0,0,도둑들
6,0,0,0,0,1,0,0,1,1,0,7번방의 선물
7,1,0,0,0,1,0,1,0,0,0,암살
8,0,0,0,0,0,0,0,0,1,0,"광해, 왕이 된 남자"
9,0,0,1,0,0,0,0,0,0,0,신과함께-인과 연
10,0,0,0,0,0,0,0,0,1,0,택시운전사
11,0,0,1,0,0,0,0,0,0,0,부산행
12,0,0,0,0,0,0,0,0,0,0,해운대
13,0,0,0,0,1,0,0,0,0,0,변호인
14,0,0,0,0,0,0,0,0,0,0,기생충
15,0,0,0,0,0,0,0,0,0,0,검사외전
16,0,0,0,0,0,0,0,0,0,0,엑시트
17,0,0,0,0,0,0,0,0,0,0,관상
18,0,0,0,0,0,0,0,0,0,0,설국열차
19,0,1,0,0,0,0,0,0,0,0,수상한 그녀
20,1,0,0,0,1,0,0,0,0,0,해적: 바다로 간 산적
21,0,0,0,0,0,0,0,0,0,0,국가대표
22,0,0,0,0,0,0,0,0,0,0,과속스캔들
23,0,0,0,0,0,1,0,0,0,0,히말라야
24,0,0,0,0,0,0,0,0,0,0,밀정
25,1,0,0,0,0,0,0,0,0,0,최종병기 활
26,0,0,0,0,0,0,0,0,0,0,써니
27,0,1,0,0,0,0,0,0,0,0,1987
28,1,0,0,0,0,0,0,0,0,0,베를린
29,0,0,0,0,1,0,0,0,0,0,터널
30,1,0,0,1,0,0,0,0,0,0,내부자들
31,0,0,0,0,0,0,0,0,0,0,인천상륙작전
32,0,0,0,0,0,0,0,0,0,0,럭키
33,0,0,0,0,0,0,0,0,0,0,은밀하게 위대하게
34,0,0,0,0,0,0,0,1,0,0,곡성
35,0,1,1,0,0,0,0,0,0,0,범죄도시
36,0,0,0,0,1,0,0,0,0,0,"좋은 놈, 나쁜 놈, 이상한 놈"
37,0,0,0,0,0,0,0,0,0,0,늑대소년
38,1,0,0,0,0,0,0,0,0,0,군함도
39,1,0,1,0,0,0,0,0,0,0,백두산
40,0,0,0,0,0,0,0,0,0,0,아저씨
41,0,0,0,0,0,0,0,0,0,0,사도
42,0,1,0,0,0,0,0,1,0,0,전우치
43,0,0,0,0,0,0,0,0,1,0,연평해전
44,0,0,0,0,0,0,0,0,0,0,청년경찰
45,0,0,0,0,0,0,0,0,0,0,숨바꼭질
46,0,0,0,0,0,1,0,1,0,0,덕혜옹주
47,1,0,0,0,0,0,0,0,0,0,더 테러 라이브
48,0,1,0,0,0,0,0,0,0,0,의형제
49,0,0,0,0,0,0,0,0,0,0,감시자들
50,0,0,0,0,0,0,0,0,0,0,검은 사제들
51,0,0,0,1,0,0,0,0,0,0,안시성
52,0,0,0,0,0,0,0,0,0,0,완득이
53,0,0,0,0,0,0,1,0,0,0,완벽한 타인
54,0,1,0,0,0,0,0,0,0,0,타워
55,0,0,0,0,0,0,0,0,0,0,추격자
56,0,0,0,0,0,0,1,0,0,0,독전
57,0,0,0,0,0,0,1,0,0,0,공작
58,0,0,0,0,1,0,0,0,0,0,마스터
59,0,0,0,0,0,0,0,0,0,0,바람과 함께 사라지다
60,0,1,0,0,1,0,0,0,0,0,조선명탐정 : 각시투구꽃의 비밀
61,0,0,0,0,0,0,0,0,0,0,봉오동 전투
62,1,0,1,0,0,0,1,0,0,0,군도: 민란의 시대
63,0,0,1,0,0,0,1,0,0,0,범죄와의 전쟁: 나쁜놈들 전성시대
64,1,0,0,0,0,0,0,0,0,0,신세계
65,0,0,0,0,0,0,0,0,0,0,도가니
66,0,0,0,0,0,0,0,0,1,0,내 아내의 모든 것
67,0,0,1,0,0,0,0,0,0,0,나쁜 녀석들: 더 무비
68,0,1,0,0,0,0,0,0,0,0,연가시
69,1,0,0,0,0,0,0,0,0,0,강철비
70,1,0,0,0,0,0,0,0,0,0,판도라
71,0,0,0,0,0,0,0,0,0,0,강철중: 공공의 적 1-1
72,0,0,0,0,0,0,1,0,0,0,아가씨
73,0,0,0,0,0,0,0,0,0,0,용의자
74,0,0,0,0,0,0,0,0,0,0,건축학개론
75,0,0,0,0,0,0,0,0,0,0,7급 공무원
76,0,0,0,0,0,1,0,0,0,0,댄싱퀸
77,0,0,0,0,0,0,0,0,0,0,우리 생애 최고의 순간
78,0,0,0,1,0,0,0,0,0,0,꾼
79,1,0,0,0,0,0,0,0,0,1,타짜-신의 손
80,0,0,0,0,0,0,0,0,0,0,박수건달
81,0,0,0,0,1,0,0,0,0,0,조선명탐정 : 사라진 놉의 딸
82,0,0,0,0,0,0,0,0,0,0,역린
83,0,0,0,0,0,0,0,0,0,0,남한산성
84,0,0,0,0,0,0,0,0,0,0,쌍화점
85,0,0,0,0,0,0,0,0,0,0,암수살인
86,0,0,0,0,0,0,0,0,1,0,국가부도의 날
87,0,0,0,0,0,0,0,0,0,0,신기전
88,0,0,0,0,0,0,0,0,0,0,82년생 김지영
89,0,1,0,0,0,0,0,0,0,0,귀향
90,0,0,0,0,0,0,0,0,0,0,신의 한 수
91,0,0,0,0,0,0,0,0,0,0,부러진 화살
92,0,0,0,0,0,0,1,0,0,0,끝까지 간다
93,0,1,0,0,0,1,0,0,1,0,스파이
94,0,0,0,0,0,0,0,0,0,0,그것만이 내 세상
95,0,0,0,0,0,0,0,0,0,0,이끼
96,0,0,0,0,0,0,0,0,0,0,돈
97,0,0,0,0,0,0,0,0,0,0,포화속으로
98,0,0,1,0,0,0,0,0,0,0,악인전
99,0,0,0,0,0,0,0,0,0,0,아이 캔 스피크
100,0,0,0,0,0,0,0,0,0,0,마녀
101,0,0,0,0,0,0,0,0,0,0,탐정: 리턴즈
102,0,0,0,0,0,0,0,0,0,1,퀵
103,0,0,1,0,0,0,0,0,0,0,감기
104,0,0,0,0,0,0,0,0,0,0,하모니
105,0,0,0,0,0,0,0,0,0,0,거북이 달린다
106,0,0,0,0,0,0,0,0,0,0,스물
107,0,0,0,0,1,0,0,0,0,1,방자전
108,0,0,0,0,0,0,0,0,0,0,마더
109,0,0,0,0,0,0,0,0,0,0,오싹한 연애
110,0,0,0,0,0,0,0,0,0,0,형
111,0,0,0,0,0,0,0,0,0,0,친구 2
112,1,0,0,0,0,0,0,1,0,0,26년
113,0,0,0,0,0,0,0,0,0,0,공조
114,0,1,0,0,0,0,1,0,1,0,고지전
115,0,0,0,0,0,0,0,0,1,0,프리즌
116,0,0,0,0,0,0,0,0,0,0,가장 보통의 연애
117,0,0,0,0,0,1,0,0,0,0,헬로우 고스트
118,0,0,0,0,0,0,0,0,0,0,극비수사
119,0,0,0,0,0,0,0,0,0,0,표적
120,0,0,0,0,0,0,0,0,0,0,너의 결혼식
121,0,0,0,0,0,0,0,0,0,0,말모이
122,0,0,1,0,0,0,0,1,0,1,부당거래
123,0,0,0,0,0,0,0,0,0,0,시라노; 연애조작단
124,0,0,0,1,0,0,0,0,0,0,내가 살인범이다
125,0,0,0,0,0,0,0,0,0,0,곤지암
126,0,0,0,0,0,1,0,0,0,0,소원
127,0,0,0,0,1,0,0,0,0,0,살인자의 기억법
128,0,0,0,0,0,0,0,0,0,1,탐정 : 더 비기닝
129,1,0,0,0,0,0,0,0,0,0,후궁 : 제왕의 첩
130,0,0,0,0,0,0,0,0,0,0,지금 만나러 갑니다
131,0,0,0,0,0,0,0,0,0,0,위험한 상견례
132,0,0,0,0,0,0,0,0,0,0,아수라
133,0,0,0,0,0,0,0,0,0,0,굿모닝 프레지던트
134,0,0,0,0,0,0,1,0,0,0,보안관
135,0,0,0,0,0,0,0,0,0,0,기술자들
136,0,0,1,0,0,0,0,0,0,0,시동
137,0,0,0,0,0,0,0,0,0,0,목격자
138,0,0,0,0,0,0,0,0,0,0,증인
139,0,0,0,0,0,0,0,1,0,1,조작된 도시
140,0,0,1,0,0,0,0,0,0,0,반창꼬
141,1,1,0,0,0,0,1,0,0,0,블랙머니
142,0,0,0,0,0,0,0,0,0,0,화차
143,0,1,1,0,0,0,0,1,0,0,이웃사람
144,0,0,0,0,1,0,0,0,0,0,조선명탐정: 흡혈괴마의 비밀
145,1,0,0,0,0,0,0,0,0,0,재심
146,0,0,0,0,0,0,0,0,0,0,사바하
147,0,0,0,1,0,0,0,0,0,0,의뢰인
148,0,0,0,0,0,0,1,0,1,0,화이: 괴물을 삼킨 아이
149,0,0,0,0,0,0,0,0,0,0,가문의 영광4 - 가문의 수난
150,0,0,0,0,0,0,0,0,0,0,블라인드
151,0,0,0,0,0,0,0,0,0,0,박열
152,0,0,0,0,0,0,0,0,0,0,미인도
153,0,0,0,0,0,0,0,0,0,0,라스트 갓파더
154,0,0,0,0,0,0,0,0,0,0,하녀
155,0,0,0,0,1,1,0,0,0,0,박쥐
156,0,1,0,0,0,0,0,0,0,0,7광구
157,0,0,0,0,0,0,0,0,0,0,타짜: 원 아이드 잭
